time,Seconds,Latitude,Longitude,Absolute pedal position D (%),Vehicle acceleration (g),Vehicle speed (mph)
0 days 08:06:02.425000,940.265,40.14291144,-111.64701908,23.0,0.0049808613748875,75.8072854529547
0 days 08:06:04.862000,942.702,40.14230574,-111.64701917,28.0,0.0049808613748875,75.8072854529547
0 days 08:06:06.639000,944.479,40.14168966,-111.64703919,20.0,0.0042783119909372,76.4286566451921
0 days 08:06:08.427000,946.267,40.14110199,-111.64703382,29.0,0.0042783119909372,75.8072854529547
0 days 08:06:10.350000,948.19,40.14046141,-111.64705152,29.0,0.0042783119909372,75.1859142607174
0 days 08:06:12.242000,950.082,40.14015492,-111.64706533,26.0,-0.0058940239221357,74.5645430684801
0 days 08:06:14.026000,951.866,40.13955462,-111.64708491,30.0,-0.0111017032428705,74.5645430684801
0 days 08:06:15.932000,953.772,40.13897506,-111.64708938,31.0,-0.0069574306604803,74.5645430684801
0 days 08:06:17.314000,955.154,40.13840194,-111.64709864,26.0,-0.0070301148979238,73.9431718762427
0 days 08:06:19.219000,957.059,40.13810031,-111.64708798,24.0,-0.0076667295632086,73.3218006840054
0 days 08:06:22.399000,960.239,40.13693174,-111.647085,24.0,-0.0076667295632086,73.3218006840054
0 days 08:06:24.253000,962.093,40.13661687,-111.64711189,30.0,-0.0076667295632086,73.9431718762427
0 days 08:06:26.219000,964.059,40.13602941,-111.64709189,30.0,-0.0076667295632086,74.5645430684801
0 days 08:06:28.534000,966.374,40.13540357,-111.6470852,24.0,-0.0076667295632086,73.9431718762427
0 days 08:06:30.767000,968.607,40.13448771,-111.64712235,27.0,-0.0076667295632086,73.3218006840054
0 days 08:06:32.351000,970.191,40.13390519,-111.64709459,24.0,-0.0104812830057562,72.0790582995307
0 days 08:06:34.525000,972.365,40.13326482,-111.64714156,15.0,-0.0216707407729427,70.8363159150561
0 days 08:06:36.245000,974.085,40.13273726,-111.64715055,20.0,-0.0267742532103644,68.9722023383441
0 days 08:06:38.203000,976.043,40.13247125,-111.64716161,21.0,-0.030611012419496,68.3508311461067
0 days 08:06:40.246000,978.086,40.13163244,-111.64733173,27.0,-0.030611012419496,69.5935735305814
